25,4.286300
25,4.453200
25,4.548900
25,4.636500
25,4.693200
25,4.746900
25,4.814200
25,4.907900
25,4.985900
25,5.044500
25,5.149700
25,5.251900
25,5.306500
25,5.415000
25,5.483400
25,5.560800
25,5.628400
25,5.716800
25,5.776700
30,5.794500
25,5.848000
30,5.860700
3,5.892700
25,5.919500
30,5.940200
3,5.956400
25,6.017200
3,6.053000
30,6.065400
25,6.094500
25,6.166200
3,6.220700
30,6.231700
25,6.235600
25,6.296700
30,6.308200
25,6.348600
3,6.370200
30,6.378500
3,6.474400
25,6.475000
30,6.482200
3,6.516000
25,6.531800
30,6.540900
3,6.643000
30,6.659600
25,6.664700
25,6.721500
13,6.730900
3,6.739800
3,6.807600
25,6.815500
30,6.821100
3,6.871900
25,6.872600
30,6.877800
13,6.888900
25,6.982000
3,6.984800
30,6.991300
25,7.055900
13,7.070800
38,7.080500
25,7.130300
1,7.140600
3,7.144300
13,7.144900
30,7.147800
20,7.153500
25,7.163000
38,7.171100
5,7.173700
25,7.191100
13,7.199700
3,7.201000
30,7.205100
38,7.208700
20,7.213200
25,7.223100
13,7.246000
20,7.255300
38,7.260600
5,7.273900
25,7.277600
1,7.298800
13,7.304700
40,7.314300
3,7.318700
25,7.455500
3,7.456300
30,7.461500
13,7.471100
1,7.471500
20,7.478300
38,7.478300
40,7.481400
5,7.483400
25,7.485200
3,7.486900
10,7.489000
30,7.492300
38,7.503900
3,7.568500
25,7.624600
13,7.635300
1,7.636300
40,7.646900
20,7.649400
5,7.650500
25,7.654500
3,7.655900
30,7.661100
13,7.662500
10,7.664800
38,7.668400
5,7.706500
25,7.714000
1,7.723000
13,7.725900
40,7.731600
20,7.736300
3,7.739300
38,7.740100
5,7.742000
25,7.742900
30,7.746000
10,7.757200
1,7.762000
38,7.769700
13,7.775100
20,7.792100
43,7.795500
25,7.797800
5,7.800000
1,7.813700
38,7.815900
40,7.820800
13,7.821800
3,7.825800
43,7.894800
25,7.899700
1,7.909700
13,7.912600
8,7.916400
38,7.917800
40,7.922100
35,7.925100
46,7.930000
3,7.930800
26,7.940300
30,7.942400
5,7.945900
43,7.946500
25,7.950100
10,7.954900
38,7.955300
8,7.958600
1,7.958900
13,7.963700
40,7.968100
20,7.970800
3,7.976600
5,7.978200
38,7.979700
25,7.981300
30,7.984400
35,7.989400
46,7.993800
10,7.995200
43,8.004100
38,8.006900
8,8.008700
25,8.011600
5,8.016300
1,8.017900
13,8.017900
30,8.020100
35,8.021400
40,8.021800
20,8.023600
3,8.024700
46,8.024900
26,8.025000
10,8.026000
38,8.027200
25,8.030000
8,8.030700
43,8.031100
11,8.032200
5,8.035100
28,8.036000
24,8.036300
17,8.036800
30,8.037700
13,8.038500
1,8.038700
0,8.039900
49,8.039900
40,8.041300
27,8.041400
38,8.041400
35,8.042600
26,8.042700
42,8.042800
10,8.043100
4,8.043300
47,8.043800
6,8.044300
46,8.044700
20,8.044800
3,8.045500
29,8.046300
18,8.046500
37,8.047100
17,8.047200
25,8.047200
44,8.047400
11,8.047700
2,8.047800
5,8.048100
43,8.048100
13,8.048200
8,8.048400
14,8.048500
48,8.048500
23,8.048800
15,8.049000
19,8.049400
24,8.049500
45,8.049500
30,8.049800
32,8.050100
21,8.050400
38,8.050400
1,8.050500
34,8.050500
0,8.050600
27,8.050800
33,8.050800
47,8.051000
22,8.051100
49,8.051100
26,8.051300
35,8.051300
42,8.051300
28,8.051400
10,8.051900
12,8.051900
6,8.052000
4,8.052100
16,8.052300
41,8.052300
7,8.052500
18,8.052600
17,8.052800
31,8.053000
40,8.053000
11,8.053300
29,8.053400
23,8.053500
48,8.053500
44,8.053600
14,8.053700
20,8.053900
46,8.053900
5,8.054000
37,8.054000
8,8.054100
43,8.054200
15,8.054500
24,8.054500
13,8.054600
0,8.054700
19,8.054700
45,8.054800
32,8.054900
34,8.054900
21,8.055100
27,8.055300
47,8.055300
2,8.055400
3,8.055400
33,8.055500
49,8.055600
26,8.055700
38,8.055800
41,8.055800
25,8.055900
22,8.056000
18,8.056100
28,8.056100
42,8.056200
16,8.056300
17,8.056400
4,8.056600
6,8.056600
1,8.056800
14,8.056800
12,8.056900
23,8.056900
10,8.057000
11,8.057000
7,8.057100
35,8.057200
48,8.057200
29,8.057300
44,8.057500
31,8.057600
30,8.057700
34,8.057700
0,8.057800
5,8.057800
37,8.057900
40,8.057900
45,8.057900
8,8.058000
32,8.058000
15,8.058100
24,8.058100
43,8.058100
19,8.058300
21,8.058300
41,8.058300
46,8.058300
18,8.058600
27,8.058600
33,8.058600
47,8.058600
26,8.058800
49,8.058800
16,8.058900
13,8.059000
17,8.059100
22,8.059100
28,8.059300
2,8.059400
14,8.059400
20,8.059600
23,8.059600
4,8.059700
11,8.059700
42,8.059700
38,8.059800
34,8.059900
6,8.060000
48,8.060000
0,8.060200
7,8.060200
12,8.060200
29,8.060200
41,8.060400
45,8.060400
32,8.060500
44,8.060500
24,8.060700
31,8.060700
5,8.060800
10,8.060800
18,8.060800
21,8.060800
37,8.060800
1,8.060900
15,8.060900
3,8.061000
16,8.061000
33,8.061000
8,8.061100
19,8.061100
43,8.061100
27,8.061200
35,8.061200
47,8.061200
17,8.061300
26,8.061300
40,8.061300
25,8.061400
49,8.061400
46,8.061500
14,8.061600
22,8.061700
23,8.061800
34,8.061800
28,8.061900
11,8.062000
41,8.062100
4,8.062200
0,8.062300
48,8.062300
2,8.062400
45,8.062400
13,8.062500
32,8.062500
42,8.062500
7,8.062600
18,8.062600
29,8.062600
6,8.062700
12,8.062800
16,8.062800
21,8.062900
24,8.062900
33,8.062900
30,8.063000
38,8.063000
44,8.063000
15,8.063200
31,8.063200
37,8.063200
5,8.063300
17,8.063300
26,8.063300
19,8.063400
47,8.063400
14,8.063500
27,8.063500
34,8.063500
8,8.063600
41,8.063600
43,8.063600
49,8.063600
20,8.063700
23,8.063700
22,8.063800
10,8.063900
1,8.064000
11,8.064000
0,8.064100
28,8.064100
40,8.064100
46,8.064100
18,8.064200
45,8.064200
4,8.064300
32,8.064300
35,8.064300
48,8.064300
16,8.064400
7,8.064600
29,8.064600
21,8.064700
33,8.064700
